time,open,high,low,close,"ETHUSD, BITSTAMP: Open","ETHUSD, BITSTAMP: High","ETHUSD, BITSTAMP: Low","ETHUSD, BITSTAMP: Close",HV
1616025600,1824.45,1850,1758.4,1776.4,1829.74,1850,1758.53,1776.02,97.43380632733194
1616112000,1776.4,1840.69,1734.29,1809.38,1776.11,1841,1732.17,1809.44,96.70357438462861
1616198400,1808.95,1869,1800.55,1806.47,1810.84,1869.2,1800,1803.79,95.25481204432613
1616284800,1806.04,1818.86,1748.25,1784,1804.94,1816.79,1745,1783.59,95.22409254719351
1616371200,1784.11,1806.39,1657.17,1681.02,1783.99,1808.34,1654.3,1681.69,96.98341119058688
1616457600,1681.4,1723.61,1651.58,1668.09,1682.74,1722.15,1651.3,1670.16,96.84621769572148
1616544000,1668.37,1740.91,1545.77,1581.79,1668.38,1739.61,1520,1582.94,94.2700418251587
1616630400,1581.97,1622.27,1548.69,1587.08,1581.08,1680,1549.15,1586.26,84.83756743273419
1616716800,1587.01,1700.7,1586.81,1700.1,1586.48,1701.29,1586.48,1699.37,87.51110858879719
1616803200,1699.97,1732.85,1666.4,1713.88,1700.28,1732.5,1666.57,1713.6,81.00609366386851
1616889600,1713.96,1725.71,1662,1686.92,1714.07,1725.64,1661.79,1686.5,80.62982715918704
1616976000,1686.92,1841.88,1675.28,1815.73,1686.84,1842,1676.32,1817.22,83.97120731716022
1617062400,1815.73,1860,1785.77,1841.16,1816.61,1860.2,1785.6,1842.12,83.12140187704074
1617148800,1841.03,1948,1771.94,1920,1842.06,1947.49,1770.18,1917.91,77.52970149629616
1617235200,1919.99,1982.21,1886.11,1968.38,1922.85,1982,1884.88,1967.82,74.6276955028209
1617321600,1968.74,2145,1948.67,2134.68,1968.46,2144.99,1949.77,2134.56,77.27035311429178
1617408000,2134.38,2139.33,2000,2009.25,2135.74,2138.26,1996.16,2008.28,80.47206179508692
1617494400,2008.97,2093.07,1980,2076.36,2007.75,2092.58,1978.21,2075.74,80.67389603233217
1617580800,2076.31,2131.27,2003.1,2106.98,2077.1,2131.37,2002.22,2107.23,77.10735572245328
1617667200,2107.45,2151,2046.08,2113,2108.82,2151.63,2043.83,2112.69,75.9882141650842
1617753600,2113.55,2128.99,1929.69,1964.23,2112.69,2129.39,1930,1963.08,78.31801736003644
1617840000,1964.69,2084.54,1949.34,2081.29,1963.44,2084.95,1949,2081,80.4064009587392
1617926400,2081.29,2100,2048.41,2066.03,2082.02,2100,2048.41,2065.93,78.8979204133302
1618012800,2066.5,2195,2057.2,2133.08,2066.78,2197,2057.34,2134.22,79.33774977221232
1618099200,2133.07,2163.18,2112.58,2150.54,2135.38,2163.55,2112.32,2148.15,78.1781590148636
1618185600,2150.54,2199.11,2102.55,2138.03,2150.76,2200,2098.56,2136.77,73.33908816546584
1618272000,2138.02,2317.3,2135.9,2299.92,2137.73,2317.23,2135,2299.69,75.48992939729091
1618358400,2300.01,2446.91,2283.26,2432.54,2300.31,2446.96,2282.31,2432.63,76.11573716681401
1618444800,2432.16,2546.82,2401.25,2517.03,2433.79,2546,2400,2517.35,76.54140007477645
1618531200,2517.03,2548,2305,2426.64,2518.24,2548.93,2301.75,2426.19,78.26684923815897
1618617600,2426.64,2497.84,2305.55,2318.7,2427.08,2497.39,2312.87,2317.11,79.5713764447158
1618704000,2319.11,2341,2000,2241.46,2317.12,2341.68,1951.66,2241.5,80.82055872874882
1618790400,2241.67,2282.6,2050,2163.82,2242.95,2280.79,2077.42,2163.77,82.07734419721037
1618876800,2163.69,2349.5,2054.25,2332.6,2164.37,2349.81,2055,2333.71,85.11495665850464
1618963200,2332.18,2471.72,2237.02,2357.21,2334.34,2470.53,2238.48,2358.13,81.58350064100041
1619049600,2357.74,2646.2,2304,2399.99,2362.05,2645.97,2300,2400,81.3314031458466
1619136000,2399.21,2442.29,2040,2370.05,2397.88,2442.89,2106.65,2369.77,78.51274629978185
1619222400,2369.8,2371.18,2158.36,2216.72,2369.69,2369.97,2157.61,2217.33,83.17122179866432
1619308800,2216.18,2358.22,2166,2322.16,2217.33,2358,2166,2321.81,81.6265785650672
1619395200,2322.43,2542.04,2306.03,2534,2323.31,2544.98,2306.75,2534.69,85.76955787261969
1619481600,2533.99,2683,2484.56,2667.86,2534.92,2683.65,2483.76,2668.89,86.11787863994093
1619568000,2667.86,2762.59,2551,2751.59,2669.01,2763.75,2561.44,2750.37,83.81531976842818
1619654400,2751.56,2800,2672,2758.92,2751.52,2800.89,2671.33,2758.06,83.9031906336933
1619740800,2758.92,2800,2727,2776.45,2759.56,2802.06,2726.49,2777.11,83.32082349279956
1619827200,2776.76,2955.9,2757.28,2948.92,2776.06,2956,2758.57,2947.57,84.84088781120462
